Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
4.38,0.9609266736677144,poisson,20,20,10
4.251,0.9602467954083858,poisson,30,20,10
4.411,0.9584857769058901,poisson,20,19,3
4.617,0.9477717001103206,friedman_mse,35,8,2
2.371,0.966049871965249,squared_error,10,19,9
4.246,0.9562177908320837,squared_error,45,19,3
4.054,0.9572259556403051,squared_error,45,16,6
4.243,0.9538813877645793,friedman_mse,35,10,5
4.066,0.9550205122303532,friedman_mse,40,16,3
3.732,0.9595111143456114,friedman_mse,35,19,9
3.857,0.956883235287548,friedman_mse,35,15,6
2.478,0.9658606693840252,friedman_mse,10,11,3
4.338,0.9594371260110124,poisson,20,17,7
3.924,0.9541117921314365,friedman_mse,20,13,1
4.577,0.9596976430182446,poisson,30,19,9
3.968,0.9601312605791008,squared_error,50,20,10
4.019,0.9601330712424216,squared_error,55,20,10
4.38,0.9574966825481409,squared_error,35,15,7
4.495,0.9592163956158775,squared_error,25,19,8
3.007,0.9659242389090601,friedman_mse,10,12,6
1.681,0.9562703305869225,squared_error,5,10,5
2.601,0.9660298309848553,squared_error,10,18,8
1.435,0.9562703305869225,squared_error,5,18,8
2.442,0.9660283708154088,squared_error,10,18,8
3.264,0.9635933304286128,squared_error,15,19,9
