Duration,Value,criterion,max_depth,min_samples_split,min_samples_leaf
7.678003,0.9525746978171421,poisson,60,14,2
5.575998,0.9601342090987306,friedman_mse,55,20,10
9.298002,0.9637636916869589,friedman_mse,15,20,10
13.429001,0.9479393792851416,poisson,50,8,2
11.135001,0.9562873106338137,squared_error,35,17,4
16.724005,0.9534438692765297,squared_error,40,13,3
22.704004,0.9614088409407291,friedman_mse,15,15,1
25.45101,0.9593452651052052,squared_error,40,18,9
26.915,0.9588980707290077,squared_error,35,20,7
23.950007,0.9561730208803212,poisson,45,13,6
30.878008,0.956969475532645,friedman_mse,35,17,5
28.322,0.965976312539474,squared_error,10,15,7
29.994001,0.960248649514635,poisson,50,20,10
29.558006,0.9597007816427714,squared_error,35,20,9
32.73,0.9442680855188736,friedman_mse,50,8,1
29.096,0.9514514668794252,squared_error,35,10,3
27.169001,0.9597706740840198,friedman_mse,25,20,9
27.986003,0.9585020393009529,poisson,45,20,6
27.132001,0.9595799019774318,squared_error,25,19,9
25.030001,0.9659948663660805,friedman_mse,10,17,7
26.728001,0.959147383918412,friedman_mse,55,19,8
20.642996,0.9562703305869225,friedman_mse,5,12,3
18.492996,0.9601308197645471,friedman_mse,60,20,10
16.650995,0.9660367446040337,friedman_mse,10,20,8
19.518676,0.9521024212703079,poisson,40,18,1
